[0] x:0 y:675
[136] x:850 y:752
[137] x:856 y:752
[138] x:862 y:750
[139] x:868 y:755
[140] x:875 y:761
[141] x:881 y:755
[142] x:887 y:751
[143] x:893 y:747
[144] x:900 y:756
[145] x:906 y:765
[146] x:912 y:767
[147] x:918 y:757
[148] x:925 y:766
[149] x:931 y:765
[150] x:937 y:768
[151] x:943 y:759
[152] x:950 y:762
[153] x:956 y:768
[154] x:962 y:775
[155] x:968 y:784
[156] x:975 y:781
[157] x:981 y:785
[158] x:987 y:783
[159] x:993 y:786
[160] x:1000 y:776
[161] x:1006 y:775
[162] x:1012 y:780
[163] x:1018 y:783
[164] x:1025 y:782
[165] x:1031 y:774
[166] x:1037 y:765
[167] x:1043 y:768
[168] x:1050 y:768
[169] x:1056 y:767
[170] x:1062 y:766
[171] x:1068 y:772
[172] x:1075 y:766
[173] x:1081 y:773
[174] x:1087 y:763
[175] x:1093 y:754
[176] x:1100 y:758
[177] x:1106 y:754
[178] x:1112 y:754
[179] x:1118 y:750
[180] x:1125 y:742
[181] x:1131 y:746
[182] x:1137 y:740
[183] x:1143 y:742
[184] x:1150 y:745
[185] x:1156 y:748
[186] x:1162 y:754
[187] x:1168 y:754
[188] x:1175 y:745
[189] x:1181 y:737
[190] x:1187 y:731
[191] x:1193 y:738
[192] x:1200 y:737
[193] x:1206 y:730
[194] x:1212 y:736
[195] x:1218 y:745
[196] x:1225 y:737
[197] x:1231 y:731
[198] x:1237 y:728
[199] x:1243 y:729
[200] x:1250 y:729
[201] x:1256 y:728
[202] x:1262 y:728
[203] x:1268 y:728
[204] x:1275 y:728
[205] x:1281 y:728
[206] x:1287 y:728
[207] x:1293 y:728
[208] x:1300 y:728
[209] x:1306 y:728
[210] x:1312 y:690
[211] x:1318 y:689
[212] x:1325 y:689
[213] x:1331 y:696
[214] x:1337 y:705
[215] x:1343 y:712
[216] x:1350 y:710
[217] x:1356 y:708
[218] x:1362 y:711
[219] x:1368 y:713
[220] x:1375 y:709
[221] x:1381 y:713
[222] x:1387 y:710
[223] x:1393 y:707
[224] x:1400 y:704
[225] x:1406 y:703
[226] x:1412 y:698
[227] x:1418 y:694
[228] x:1425 y:689
[229] x:1431 y:691
[230] x:1437 y:691
[231] x:1443 y:683
[232] x:1450 y:692
[233] x:1456 y:700
[234] x:1462 y:707
[235] x:1468 y:706
[236] x:1475 y:714
[237] x:1481 y:714
[238] x:1487 y:709
[239] x:1493 y:715
[240] x:1500 y:705
[241] x:1506 y:695
[242] x:1512 y:698
[243] x:1518 y:705
[244] x:1525 y:712
[245] x:1531 y:714
[246] x:1537 y:712
[247] x:1543 y:710
[248] x:1550 y:718
[249] x:1556 y:721
[250] x:1562 y:711
[251] x:1568 y:705
[252] x:1575 y:703
[253] x:1581 y:702
[254] x:1587 y:702
[255] x:1593 y:706
[256] x:1599 y:699
